"Organ","SeqID"
"Conventional","12708-91"
"Conventional","25036-10"
"Conventional","17408-2"
"Conventional","21204-70"
"Conventional","11607-15"
"Conventional","21780-15"
"Conventional","18383-9"
"Conventional","2431-17"
"Conventional","3373-5"
"Conventional","4133-54"
"Conventional","14041-13"
"Conventional","11590-5"
"Conventional","7227-75"
"Conventional","11562-9"
"Conventional","11441-11"
"Conventional","22817-126"
"Conventional","13954-9"
"Conventional","14178-18"
"Conventional","8389-8"
"Conventional","18926-7"
"Conventional","8963-8"
"Conventional","16872-248"
"Conventional","11633-89"
"Conventional","7267-2"
"Conventional","3622-33"
"Conventional","7840-64"
"Conventional","11184-51"
"Conventional","8476-11"
"Conventional","21130-82"
"Conventional","12619-14"
"Conventional","8923-94"
"Conventional","11614-29"
"Conventional","13089-6"
"Conventional","2612-5"
"Conventional","3449-58"
"Conventional","14105-5"
"Conventional","12575-30"
"Conventional","17210-2"
"Conventional","12849-25"
"Conventional","12553-5"
"Conventional","11254-13"
"Conventional","10866-60"
"Conventional","6439-59"
"Conventional","12580-7"
"Conventional","17337-1"
"Conventional","9728-4"
"Conventional","9849-13"
"Conventional","8921-139"
"Conventional","12572-236"
"Conventional","14748-31"
"Conventional","19383-131"
"Conventional","23689-52"
"Conventional","22405-61"
"Conventional","22120-4"
"Conventional","3860-7"
"Conventional","19209-6"
"Conventional","17694-32"
"Conventional","22086-2"
"Conventional","19446-1"
"Conventional","11560-76"
"Conventional","6263-77"
"Conventional","15475-4"
"Conventional","15526-33"
"Conventional","2579-17"
"Conventional","24456-3"
"Conventional","24414-3"
"Conventional","7825-7"
"Conventional","24023-35"
"Conventional","22541-46"
"Conventional","10041-3"
"Conventional","18312-68"
"Conventional","22847-18"
"Conventional","20956-13"
"Conventional","2972-57"
"Conventional","23265-15"
"Conventional","4971-1"
"Conventional","9012-1"
"Conventional","9581-4"
"Conventional","12460-18"
"Conventional","14329-4"
"Conventional","20373-141"
"Conventional","15412-40"
"Conventional","15504-39"
"Conventional","11556-19"
"Conventional","8804-39"
"Conventional","3832-51"
"Conventional","12804-5"
"Conventional","12876-39"
"Conventional","12427-8"
"Conventional","8355-80"
"Conventional","9583-17"
"Conventional","22509-9"
"Conventional","9082-25"
"Conventional","22013-6"
"Conventional","5224-20"
"Conventional","5225-50"
"Conventional","3427-63"
"Conventional","2500-2"
"Conventional","8464-31"
"Conventional","17343-6"
"Conventional","6247-9"
"Conventional","17768-50"
"Conventional","19638-9"
"Conventional","3374-49"
"Conventional","23256-21"
"Conventional","5634-39"
"Conventional","11303-7"
"Conventional","3388-58"
"Conventional","24953-27"
"Conventional","12469-19"
"Conventional","19371-18"
"Conventional","7754-11"
"Conventional","5092-51"
"Conventional","22946-55"
"Conventional","19274-80"
"Conventional","8257-71"
"Conventional","8356-88"
"Conventional","19126-4"
"Conventional","4126-22"
"Conventional","2609-59"
"Conventional","5676-54"
"Conventional","14076-74"
"Conventional","11388-75"
"Conventional","21393-62"
"Conventional","7926-13"
"Conventional","17781-191"
"Conventional","17400-71"
"Conventional","10605-22"
"Conventional","21679-16"
"Conventional","19189-2"
"Conventional","7167-102"
"Conventional","19373-3"
"Conventional","23675-16"
"Conventional","23148-100"
"Conventional","13536-56"
"Conventional","8367-142"
"Conventional","18385-4"
"Conventional","21436-56"
"Conventional","7863-50"
"Conventional","19255-124"
"Conventional","9933-49"
"Conventional","18329-4"
"Conventional","20382-8"
"Conventional","3362-61"
"Conventional","24201-86"
"Conventional","4876-32"
"Conventional","5307-12"
"Conventional","3414-40"
"Conventional","25960-15"
"Conventional","17854-33"
"Conventional","19601-15"
"Conventional","7713-102"
"Conventional","7713-50"
"Conventional","7721-81"
"Conventional","20081-14"
"Conventional","11432-11"
"Conventional","6497-10"
"Conventional","9391-60"
"Conventional","5020-50"
"Conventional","18179-56"
"Conventional","18921-30"
"Conventional","11490-42"
"Conventional","10539-30"
"Conventional","14043-12"
"Conventional","16867-76"
"Conventional","21762-32"
"Conventional","3534-14"
"Conventional","2211-9"
"Conventional","25967-34"
"Conventional","23173-3"
"Conventional","12718-43"
"Conventional","12747-89"
"Conventional","11563-51"
"Conventional","9090-9"
"Conventional","15588-17"
"Conventional","23576-46"
"Conventional","13556-28"
"Conventional","3059-50"
"Conventional","21154-8"
"Conventional","12617-2"
"Conventional","3232-28"
"Conventional","13932-45"
"Conventional","19584-33"
"Conventional","16315-105"
"Conventional","8231-122"
"Conventional","24494-67"
"Conventional","9795-9"
"Conventional","8874-53"
"Conventional","4769-10"
"Conventional","3893-64"
"Conventional","2855-49"
"Conventional","22496-21"
"Conventional","19219-71"
"Conventional","9313-27"
"Conventional","18407-36"
"Conventional","22993-9"
"Conventional","3508-78"
"Conventional","21346-71"
"Conventional","3519-3"
